"GeneSymbol","log2FC_db_dw","pvalue","alias","Entrez","log2FC_hallock","pval_hallock","fdr_hallock"
"IER5L",1.5424821,1.11e-19,"","499772",0.50586437347043,0.0375479058575605,0.215091055335219
"NEDD9",1.1884135,1.48e-19,"","291044",1.01244418240214,4.16365202273894e-05,0.00331551484337591
"WDR43",0.78759044,1.99e-19,"","362703",0.171152358526282,0.198188761901646,0.491258442886914
"BAALC",1.0558892,2.48e-19,"","140720",0.168629503991967,0.433802253920836,0.70649965932252
"DKK2",3.33558,3.13e-19,"Dkk4","295445",1.84217434402711,6.0907263764314e-06,0.000830387496751394
"MAP2K6",-1.2294734,3.97e-19,"Mkk6","114495",-0.214060216025485,0.168059041386347,0.453730585149416
"AP1S3",1.6560899,4.6e-19,"","367304",0.0374110302208662,0.869494330593922,0.947974903698467
"PLK2",1.2168903,4.68e-19,"Snk","83722",1.12465467547128,2.79962351588456e-08,1.63673989662942e-05
"FAM212B",1.5589373,5.27e-19,"RGD1306526","310764",NA,NA,NA
"FAM196A",1.2841877,5.33e-19,"","100233213",0.19131321770068,0.447294061148576,0.716029917479541
"DNAJB5",1.018804,6.05e-19,"","313811",1.1298396386146,0.000212011482532727,0.0102121160852701
"SELE",2.8674822,6.41e-19,"","25544",-1.58886796997496,0.106622751210776,0.36223057201974
"42805",1.4264649,6.69e-19,"MARCH-XI|RGD1559945","499558",NA,NA,NA
"VIPR1",1.814615,9.38e-19,"PACAP-R-2|PACAP-R2|RATVA","24875",0.80476460537167,0.00713142246246298,0.0859382605576664
"PTPRU",0.9018883,9.45e-19,"","116680",0.0139960636138021,0.912919574272211,0.966387499470227
"GCGR",2.2198486,9.56e-19,"","24953",NA,NA,NA
"BAZ1A",1.8905354,1.21e-18,"","314126",2.49080285006531,0.00519105514310959,0.0705307903972831
"KITLG",1.0291016,1.52e-18,"Kitl|Mgf|SCF","60427",NA,NA,NA
"POU4F3",2.8643954,3.79e-18,"","364855",NA,NA,NA
"SS18",0.89652956,4.13e-18,"","361295",0.0849320491066849,0.628004979116793,0.8289154534936
"ARHGAP10",1.32641,4.25e-18,"","688429",0.167864357806727,0.418321836301948,0.695449860043981
"RGD1307461",-1.6390955,6.6e-18,"","300990",NA,NA,NA
"SYT10",2.6374457,7.16e-18,"","60567",0.0640545321681888,0.941588379064002,0.977314670407204
"ATP2B1",0.7975083,7.42e-18,"Pmca1a|Pmca1b|Pmca1c","29598",0.145613571165258,0.298842923856275,0.594183774554275
"EGR3",2.477239,1.16e-17,"","25148",2.16069665642046,0.00648756294098886,0.0811187654592086
